dep,dur,mem,jour,temp,prec,pointe
5/29/2021 22:48,1156,0,samedi,11.4,0,3
5/29/2021 19:07,2330,0,samedi,11.4,0,3
5/29/2021 14:56,2658,0,samedi,11.4,0,3
5/15/2021 20:41,1242,0,samedi,17.7,0.2,3
5/8/2021 10:55,490,0,samedi,11.7,0,3
5/8/2021 17:00,2267,0,samedi,11.7,0,2
5/15/2021 17:03,876,0,samedi,17.7,0.2,2
5/22/2021 17:54,1723,0,samedi,23.6,0.3,2
5/15/2021 15:26,1791,0,samedi,17.7,0.2,2
5/15/2021 18:10,1844,0,samedi,17.7,0.2,2
6/12/2021 9:41,1013,0,samedi,19.3,0,1
6/19/2021 9:46,1054,0,samedi,20.7,1.9,1
6/19/2021 9:45,1458,0,samedi,20.7,1.9,1
6/12/2021 7:02,245,0,samedi,19.3,0,1
6/12/2021 9:07,566,0,samedi,19.3,0,1
6/12/2021 0:21,2369,0,samedi,19.3,0,3
6/12/2021 13:45,950,0,samedi,19.3,0,3
6/12/2021 20:42,2267,0,samedi,19.3,0,3
6/5/2021 2:16,980,0,samedi,22.4,14.2,3
6/12/2021 0:32,1193,0,samedi,19.3,0,3
6/19/2021 17:54,3703,0,samedi,20.7,1.9,2
6/12/2021 16:50,810,0,samedi,19.3,0,2
6/19/2021 18:44,1438,0,samedi,20.7,1.9,2
6/19/2021 15:27,562,0,samedi,20.7,1.9,2
6/5/2021 17:12,1407,0,samedi,22.4,14.2,2
7/24/2021 9:31,841,0,samedi,21.9,0.6,1
7/10/2021 9:51,615,0,samedi,19,0,1
7/17/2021 9:07,3479,0,samedi,21.7,0,1
7/3/2021 9:58,1502,0,samedi,16.5,0,1
7/10/2021 9:23,2220,0,samedi,19,0,1
7/24/2021 3:25,465,0,samedi,21.9,0.6,3
7/31/2021 11:29,458,0,samedi,17.9,0,3
7/3/2021 12:09,4130,0,samedi,16.5,0,3
7/24/2021 13:06,3750,0,samedi,21.9,0.6,3
7/24/2021 5:08,1689,0,samedi,21.9,0.6,3
7/10/2021 18:11,771,0,samedi,19,0,2
7/17/2021 17:00,1642,0,samedi,21.7,0,2
7/3/2021 18:15,807,0,samedi,16.5,0,2
7/3/2021 18:47,1413,0,samedi,16.5,0,2
7/3/2021 15:14,874,0,samedi,16.5,0,2
8/7/2021 9:38,192,0,samedi,23.6,0.8,1
8/21/2021 9:38,861,0,samedi,27.5,0,1
8/21/2021 7:02,3472,0,samedi,27.5,0,1
8/21/2021 9:27,1192,0,samedi,27.5,0,1
8/28/2021 8:37,280,0,samedi,18.9,0,1
8/28/2021 3:29,783,0,samedi,18.9,0,3
8/21/2021 10:25,3204,0,samedi,27.5,0,3
8/14/2021 20:11,1153,0,samedi,20.9,0.2,3
8/7/2021 11:37,625,0,samedi,23.6,0.8,3
8/14/2021 14:06,891,0,samedi,20.9,0.2,3
8/7/2021 17:51,2616,0,samedi,23.6,0.8,2
8/14/2021 17:21,3994,0,samedi,20.9,0.2,2
8/21/2021 17:47,296,0,samedi,27.5,0,2
8/7/2021 18:44,486,0,samedi,23.6,0.8,2
8/14/2021 16:10,281,0,samedi,20.9,0.2,2
9/4/2021 9:39,283,0,samedi,19,0,1
9/25/2021 9:38,1355,0,samedi,16.7,0,1
9/4/2021 7:27,172,0,samedi,19,0,1
9/25/2021 9:25,995,0,samedi,16.7,0,1
9/4/2021 8:43,605,0,samedi,19,0,1
9/18/2021 20:18,989,0,samedi,18.7,0,3
9/18/2021 19:43,1038,0,samedi,18.7,0,3
9/25/2021 19:58,1296,0,samedi,16.7,0,3
9/4/2021 13:44,270,0,samedi,19,0,3
9/11/2021 21:12,835,0,samedi,18.4,0,3
9/11/2021 15:47,244,0,samedi,18.4,0,2
9/11/2021 17:11,735,0,samedi,18.4,0,2
9/18/2021 17:00,1146,0,samedi,18.7,0,2
9/4/2021 17:44,336,0,samedi,19,0,2
9/11/2021 17:13,1462,0,samedi,18.4,0,2
10/9/2021 6:53,478,0,samedi,16,0,1
10/2/2021 7:45,557,0,samedi,11.9,11.4,1
10/30/2021 7:14,649,0,samedi,8.2,11.6,1
10/16/2021 6:59,176,0,samedi,15.8,18.7,1
10/9/2021 9:43,2061,0,samedi,16,0,1
10/9/2021 0:02,1031,0,samedi,16,0,3
10/9/2021 22:52,997,0,samedi,16,0,3
10/23/2021 12:16,1189,0,samedi,4.9,0,3
10/23/2021 14:23,1777,0,samedi,4.9,0,3
10/9/2021 10:29,3221,0,samedi,16,0,3
10/23/2021 16:11,860,0,samedi,4.9,0,2
10/30/2021 18:37,1018,0,samedi,8.2,11.6,2
10/2/2021 17:42,553,0,samedi,11.9,11.4,2
10/9/2021 16:47,2393,0,samedi,16,0,2
10/2/2021 15:03,338,0,samedi,11.9,11.4,2
5/30/2021 9:58,675,0,dimanche,13.6,0.9,1
5/16/2021 9:58,616,0,dimanche,15.8,0.3,1
5/30/2021 8:24,375,0,dimanche,13.6,0.9,1
5/2/2021 8:27,408,0,dimanche,10,0,1
5/30/2021 9:11,1434,0,dimanche,13.6,0.9,1
5/2/2021 12:44,451,0,dimanche,10,0,3
5/16/2021 14:23,915,0,dimanche,15.8,0.3,3
5/30/2021 11:25,348,0,dimanche,13.6,0.9,3
5/23/2021 19:46,418,0,dimanche,15.8,0.5,3
